rank,quality_score,keep_rate,kept_matches,rejected_matches,candidate_matches,min_frames,max_damage_taken,min_attack_accuracy,min_sprint_uptime,rej_min_frames,rej_damage,rej_accuracy,rej_sprint
1,0.299618,0.458015,300,355,655,400,60.000000,0.200000,0.150000,34,156,149,76
2,0.247328,0.416794,273,382,655,400,50.000000,0.200000,0.150000,34,185,149,76
3,0.200000,0.384733,252,403,655,400,60.000000,0.300000,0.150000,34,156,218,76
4,0.149237,0.345038,226,429,655,400,50.000000,0.300000,0.150000,34,185,218,76
5,0.140076,0.343511,225,430,655,400,60.000000,0.400000,0.150000,34,156,267,76
6,0.095420,0.309924,203,452,655,400,50.000000,0.400000,0.150000,34,185,267,76
7,0.094275,0.311450,204,451,655,700,60.000000,0.200000,0.150000,188,156,149,76
8,0.080916,0.287023,188,467,655,400,40.000000,0.200000,0.150000,34,281,149,76
9,0.049618,0.277863,182,473,655,700,50.000000,0.200000,0.150000,188,185,149,76
10,0.041603,0.287023,188,467,655,400,60.000000,0.200000,0.300000,34,156,149,304
11,0.014504,0.258015,169,486,655,700,60.000000,0.300000,0.150000,188,156,218,76
12,0.000000,0.256489,168,487,655,400,50.000000,0.200000,0.300000,34,185,149,304
13,-0.006107,0.265649,174,481,655,400,60.000000,0.300000,0.300000,34,156,218,304
14,-0.012595,0.219847,144,511,655,400,40.000000,0.300000,0.150000,34,281,218,76
15,-0.025573,0.236641,155,500,655,700,60.000000,0.400000,0.150000,188,156,267,76
16,-0.028626,0.225954,148,507,655,700,50.000000,0.300000,0.150000,188,185,218,76
17,-0.044656,0.245802,161,494,655,400,60.000000,0.400000,0.300000,34,156,267,304
18,-0.047710,0.235115,154,501,655,400,50.000000,0.300000,0.300000,34,185,218,304
19,-0.061832,0.189313,124,531,655,400,40.000000,0.400000,0.150000,34,281,267,76
20,-0.062595,0.210687,138,517,655,700,50.000000,0.400000,0.150000,188,185,267,76
21,-0.083206,0.218321,143,512,655,400,50.000000,0.400000,0.300000,34,185,267,304
22,-0.093893,0.170992,112,543,655,700,40.000000,0.200000,0.150000,188,281,149,76
23,-0.106870,0.161832,106,549,655,1000,60.000000,0.200000,0.150000,323,156,149,76
24,-0.111832,0.192366,126,529,655,700,60.000000,0.200000,0.300000,188,156,149,304
25,-0.123664,0.169466,111,544,655,400,40.000000,0.200000,0.300000,34,281,149,304
26,-0.140840,0.138931,91,564,655,1000,50.000000,0.200000,0.150000,323,185,149,76
27,-0.147328,0.167939,110,545,655,700,50.000000,0.200000,0.300000,188,185,149,304
28,-0.151908,0.178626,117,538,655,700,60.000000,0.300000,0.300000,188,156,218,304
29,-0.167557,0.123664,81,574,655,700,40.000000,0.300000,0.150000,188,281,218,76
30,-0.169847,0.149618,98,557,655,400,40.000000,0.300000,0.300000,34,281,218,304
31,-0.172901,0.122137,80,575,655,1000,60.000000,0.300000,0.150000,323,156,218,76
32,-0.182824,0.166412,109,546,655,700,60.000000,0.400000,0.300000,188,156,267,304
33,-0.187405,0.154198,101,554,655,700,50.000000,0.300000,0.300000,188,185,218,304
34,-0.196947,0.112977,74,581,655,700,40.000000,0.400000,0.150000,188,281,267,76
35,-0.200763,0.137405,90,565,655,400,40.000000,0.400000,0.300000,34,281,267,304
36,-0.205344,0.100763,66,589,655,1000,50.000000,0.300000,0.150000,323,185,218,76
37,-0.206870,0.106870,70,585,655,1000,60.000000,0.400000,0.150000,323,156,267,76
38,-0.215267,0.145038,95,560,655,700,50.000000,0.400000,0.300000,188,185,267,304
39,-0.232443,0.083969,55,600,655,1000,40.000000,0.200000,0.150000,323,281,149,76
40,-0.233206,0.091603,60,595,655,1000,50.000000,0.400000,0.150000,323,185,267,76
41,-0.255725,0.096183,63,592,655,700,40.000000,0.200000,0.300000,188,281,149,304
42,-0.265649,0.090076,59,596,655,1000,60.000000,0.200000,0.300000,323,156,149,304
43,-0.291985,0.074809,49,606,655,1000,50.000000,0.200000,0.300000,323,185,149,304
44,-0.292366,0.050382,33,622,655,1000,40.000000,0.300000,0.150000,323,281,218,76
45,-0.294275,0.083969,55,600,655,700,40.000000,0.300000,0.300000,188,281,218,304
46,-0.304198,0.077863,51,604,655,1000,60.000000,0.300000,0.300000,323,156,218,304
47,-0.317176,0.044275,29,626,655,1000,40.000000,0.400000,0.150000,323,281,267,76
48,-0.317557,0.079389,52,603,655,700,40.000000,0.400000,0.300000,188,281,267,304
49,-0.330534,0.070229,46,609,655,1000,60.000000,0.400000,0.300000,323,156,267,304
50,-0.330534,0.062595,41,614,655,1000,50.000000,0.300000,0.300000,323,185,218,304
51,-0.353817,0.058015,38,617,655,1000,50.000000,0.400000,0.300000,323,185,267,304
52,-0.355344,0.016794,11,644,655,400,60.000000,0.200000,0.600000,34,156,149,636
53,-0.362214,0.041221,27,628,655,1000,40.000000,0.200000,0.300000,323,281,149,304
54,-0.370992,0.012214,8,647,655,400,50.000000,0.200000,0.600000,34,185,149,636
55,-0.383206,0.015267,10,645,655,400,60.000000,0.300000,0.600000,34,156,218,636
56,-0.398855,0.010687,7,648,655,400,50.000000,0.300000,0.600000,34,185,218,636
57,-0.399237,0.030534,20,635,655,1000,40.000000,0.300000,0.300000,323,281,218,304
58,-0.401908,0.015267,10,645,655,400,60.000000,0.400000,0.600000,34,156,267,636
59,-0.409160,0.010687,7,648,655,400,40.000000,0.200000,0.600000,34,281,149,636
60,-0.417557,0.010687,7,648,655,400,50.000000,0.400000,0.600000,34,185,267,636
61,-0.419466,0.029008,19,636,655,1000,40.000000,0.400000,0.300000,323,281,267,304
62,-0.420229,0.010687,7,648,655,700,60.000000,0.200000,0.600000,188,156,149,636
63,-0.434351,0.007634,5,650,655,700,50.000000,0.200000,0.600000,188,185,149,636
64,-0.437023,0.009160,6,649,655,400,40.000000,0.300000,0.600000,34,281,218,636
65,-0.446565,0.010687,7,648,655,700,60.000000,0.300000,0.600000,188,156,218,636
66,-0.455725,0.009160,6,649,655,400,40.000000,0.400000,0.600000,34,281,267,636
67,-0.460687,0.007634,5,650,655,700,50.000000,0.300000,0.600000,188,185,218,636
68,-0.465267,0.010687,7,648,655,700,60.000000,0.400000,0.600000,188,156,267,636
69,-0.472519,0.006107,4,651,655,700,40.000000,0.200000,0.600000,188,281,149,636
70,-0.479389,0.003053,2,653,655,1000,60.000000,0.200000,0.600000,323,156,149,636
71,-0.479389,0.007634,5,650,655,700,50.000000,0.400000,0.600000,188,185,267,636
72,-0.490458,0.003053,2,653,655,1000,50.000000,0.200000,0.600000,323,185,149,636
73,-0.498855,0.006107,4,651,655,700,40.000000,0.300000,0.600000,188,281,218,636
74,-0.505725,0.003053,2,653,655,1000,60.000000,0.300000,0.600000,323,156,218,636
75,-0.516794,0.003053,2,653,655,1000,50.000000,0.300000,0.600000,323,185,218,636
76,-0.517557,0.006107,4,651,655,700,40.000000,0.400000,0.600000,188,281,267,636
77,-0.524427,0.003053,2,653,655,1000,60.000000,0.400000,0.600000,323,156,267,636
78,-0.528626,0.001527,1,654,655,1000,40.000000,0.200000,0.600000,323,281,149,636
79,-0.535496,0.003053,2,653,655,1000,50.000000,0.400000,0.600000,323,185,267,636
80,-0.554962,0.001527,1,654,655,1000,40.000000,0.300000,0.600000,323,281,218,636
81,-0.573664,0.001527,1,654,655,1000,40.000000,0.400000,0.600000,323,281,267,636
